0.5,100
0.5,150
0.5,200
0.5,250
0.5,300
0.5,350
0.5,400
0.5,500
0.8,100
0.8,150
0.8,200
0.8,250
0.8,300
0.8,350
0.8,400
0.8,500
10.0,100
10.0,150
10.0,200
10.0,250
10.0,300
10.0,350
10.0,400
10.0,500
1.0,100
1.0,150
1.0,200
1.0,250
1.0,300
1.0,350
1.0,400
1.0,500
1.5,100
1.5,150
1.5,200
1.5,250
1.5,300
1.5,350
1.5,400
1.5,500
20.0,100
20.0,150
20.0,200
20.0,250
20.0,300
20.0,350
20.0,400
20.0,500
2.0,100
2.0,150
2.0,200
2.0,250
2.0,300
2.0,350
2.0,400
2.0,500
30.0,100
30.0,150
30.0,200
30.0,250
30.0,300
30.0,350
30.0,400
30.0,500
40.0,100
40.0,150
40.0,200
40.0,250
40.0,300
40.0,350
40.0,400
40.0,500
4.0,100
4.0,150
4.0,200
4.0,250
4.0,300
4.0,350
4.0,400
4.0,500
50.0,100
50.0,150
50.0,200
50.0,250
50.0,300
50.0,350
50.0,400
50.0,500
6.0,100
6.0,150
6.0,200
6.0,250
6.0,300
6.0,350
6.0,400
6.0,500
8.0,100
8.0,150
8.0,200
8.0,250
8.0,300
8.0,350
8.0,400
8.0,500
